filename,latitude,longitude,timestamp
paris-001.jpg,48.8566,2.3522,2026-01-12T09:00:00
paris-002.jpg,48.8606,2.3376,2026-01-12T11:30:00
paris-003.jpg,48.8530,2.3499,2026-01-12T14:15:00
reims-001.jpg,49.2583,4.0317,2026-01-12T17:30:00
reims-002.jpg,49.2535,4.0330,2026-01-12T19:00:00
reims-003.jpg,49.2602,4.0280,2026-01-12T20:30:00
metz-001.jpg,49.1193,6.1757,2026-01-15T10:00:00
metz-002.jpg,49.1160,6.1720,2026-01-15T12:30:00
metz-003.jpg,49.1215,6.1800,2026-01-15T15:00:00
metz-return-001.jpg,49.1180,6.1740,2026-01-19T10:00:00
metz-return-002.jpg,49.1200,6.1770,2026-01-19T12:00:00
zurich-001.jpg,47.3769,8.5417,2026-01-22T09:15:00
zurich-002.jpg,47.3700,8.5400,2026-01-22T11:45:00
zurich-003.jpg,47.3800,8.5480,2026-01-22T14:30:00
duplicate-test.jpg,48.8566,2.3522,2026-01-12T09:00:00
duplicate-test.jpg,48.8566,2.3522,2026-01-12T09:00:00
invalid-latitude.jpg,120.0000,2.3522,2026-01-25T10:00:00
invalid-longitude.jpg,48.8566,250.0000,2026-01-25T11:00:00
invalid-timestamp.jpg,48.8566,2.3522,not-a-date
,48.8566,2.3522,2026-01-25T13:00:00
